T,RH,AH,,,,,,,,,,,,,,
13.6,48.9,0.7578,,,,,,,,,,,,,,
13.3,47.7,0.7255,,,,,,,,,,,,,,
11.9,54.0,0.7502,,,,,,,,,,,,,,
11.0,60.0,0.7867,,,,,,,,,,,,,,
11.2,59.6,0.7888,,,,,,,,,,,,,,
11.2,59.2,0.7848,,,,,,,,,,,,,,
11.3,56.8,0.7603,,,,,,,,,,,,,,
10.7,60.0,0.7702,,,,,,,,,,,,,,
10.7,59.7,0.7648,,,,,,,,,,,,,,
10.3,60.2,0.7517,,,,,,,,,,,,,,
10.1,60.5,0.7465,,,,,,,,,,,,,,
11.0,56.2,0.7366,,,,,,,,,,,,,,
10.5,58.1,0.7353,,,,,,,,,,,,,,
10.2,59.6,0.7417,,,,,,,,,,,,,,
10.8,57.4,0.7408,,,,,,,,,,,,,,
10.5,60.6,0.7691,,,,,,,,,,,,,,
10.8,58.4,0.7552,,,,,,,,,,,,,,
10.5,57.9,0.7352,,,,,,,,,,,,,,
9.5,66.8,0.7951,,,,,,,,,,,,,,
8.3,76.4,0.8393,,,,,,,,,,,,,,
8.0,81.1,0.8736,,,,,,,,,,,,,,
8.3,79.8,0.8778,,,,,,,,,,,,,,
9.7,71.2,0.8569,,,,,,,,,,,,,,
9.8,67.6,0.8185,,,,,,,,,,,,,,
10.3,64.2,0.8065,,,,,,,,,,,,,,
9.7,69.3,0.8319,,,,,,,,,,,,,,
9.6,67.8,0.8133,,,,,,,,,,,,,,
9.1,64.0,0.7419,,,,,,,,,,,,,,
8.2,63.4,0.6905,,,,,,,,,,,,,,
8.2,60.8,0.6657,,,,,,,,,,,,,,
8.3,58.5,0.6438,,,,,,,,,,,,,,
7.7,59.7,0.6308,,,,,,,,,,,,,,
7.1,61.8,0.6276,,,,,,,,,,,,,,
7.0,62.3,0.6261,,,,,,,,,,,,,,
6.1,65.9,0.6248,,,,,,,,,,,,,,
6.3,65.0,0.6233,,,,,,,,,,,,,,
6.8,62.9,0.6234,,,,,,,,,,,,,,
6.4,65.1,0.6316,,,,,,,,,,,,,,
7.3,63.1,0.6499,,,,,,,,,,,,,,
9.2,56.2,0.6561,,,,,,,,,,,,,,
13.2,41.7,0.6320,,,,,,,,,,,,,,
14.3,38.4,0.6243,,,,,,,,,,,,,,
15.0,36.5,0.6195,,,,,,,,,,,,,,
16.1,34.5,0.6262,,,,,,,,,,,,,,
16.3,35.7,0.6560,,,,,,,,,,,,,,
15.8,37.0,0.6610,,,,,,,,,,,,,,
15.9,37.2,0.6657,,,,,,,,,,,,,,
16.9,34.3,0.6549,,,,,,,,,,,,,,
15.1,39.6,0.6766,,,,,,,,,,,,,,
14.4,43.4,0.7084,,,,,,,,,,,,,,
12.9,50.5,0.7478,,,,,,,,,,,,,,
12.1,53.3,0.7536,,,,,,,,,,,,,,
11.0,59.1,0.7740,,,,,,,,,,,,,,
9.7,64.6,0.7771,,,,,,,,,,,,,,
9.5,64.1,0.7597,,,,,,,,,,,,,,
9.1,63.9,0.7423,,,,,,,,,,,,,,
8.8,63.9,0.7256,,,,,,,,,,,,,,
7.8,67.5,0.7173,,,,,,,,,,,,,,
7.0,71.1,0.7158,,,,,,,,,,,,,,
8.3,63.6,0.6982,,,,,,,,,,,,,,
7.2,67.5,0.6887,,,,,,,,,,,,,,
6.3,71.9,0.6932,,,,,,,,,,,,,,
6.5,71.6,0.6945,,,,,,,,,,,,,,
9.6,59.7,0.7124,,,,,,,,,,,,,,
12.4,51.2,0.7335,,,,,,,,,,,,,,
15.6,42.2,0.7451,,,,,,,,,,,,,,
18.4,33.8,0.7090,,,,,,,,,,,,,,
19.4,31.3,0.6950,,,,,,,,,,,,,,
18.0,34.8,0.7127,,,,,,,,,,,,,,
18.4,33.6,0.7042,,,,,,,,,,,,,,
17.6,35.1,0.7012,,,,,,,,,,,,,,
16.7,37.8,0.7117,,,,,,,,,,,,,,
16.1,41.0,0.7451,,,,,,,,,,,,,,
15.8,42.4,0.7569,,,,,,,,,,,,,,
15.7,44.1,0.7786,,,,,,,,,,,,,,
15.3,46.8,0.8091,,,,,,,,,,,,,,
14.6,48.6,0.8060,,,,,,,,,,,,,,
14.7,49.3,0.8193,,,,,,,,,,,,,,
13.9,53.6,0.8498,,,,,,,,,,,,,,
14.6,51.5,0.8536,,,,,,,,,,,,,,
12.5,58.9,0.8537,,,,,,,,,,,,,,
11.6,63.4,0.8674,,,,,,,,,,,,,,
12.1,61.1,0.8603,,,,,,,,,,,,,,
11.5,63.1,0.8533,,,,,,,,,,,,,,
11.6,62.2,0.8473,,,,,,,,,,,,,,
10.4,67.6,0.8530,,,,,,,,,,,,,,
11.6,62.7,0.8530,,,,,,,,,,,,,,
12.4,60.0,0.8627,,,,,,,,,,,,,,
14.5,53.1,0.8728,,,,,,,,,,,,,,
16.9,46.1,0.8789,,,,,,,,,,,,,,
19.3,38.3,0.8474,,,,,,,,,,,,,,
21.2,31.4,0.7812,,,,,,,,,,,,,,
21.4,30.2,0.7616,,,,,,,,,,,,,,
21.9,29.0,0.7525,,,,,,,,,,,,,,
22.2,28.4,0.7516,,,,,,,,,,,,,,
21.3,30.8,0.7696,,,,,,,,,,,,,,
19.7,36.7,0.8307,,,,,,,,,,,,,,
18.4,41.7,0.8732,,,,,,,,,,,,,,
17.6,46.1,0.9210,,,,,,,,,,,,,,
16.7,49.6,0.9320,,,,,,,,,,,,,,
16.3,51.0,0.9341,,,,,,,,,,,,,,
14.7,55.9,0.9314,,,,,,,,,,,,,,
14.8,54.7,0.9164,,,,,,,,,,,,,,
14.0,57.0,0.9094,,,,,,,,,,,,,,
13.4,61.3,0.9361,,,,,,,,,,,,,,
12.6,63.5,0.9230,,,,,,,,,,,,,,
12.3,65.4,0.9351,,,,,,,,,,,,,,
11.9,67.4,0.9375,,,,,,,,,,,,,,
11.4,70.5,0.9475,,,,,,,,,,,,,,
11.3,70.2,0.9401,,,,,,,,,,,,,,
12.4,63.9,0.9170,,,,,,,,,,,,,,
14.8,54.3,0.9076,,,,,,,,,,,,,,
17.4,45.6,0.8993,,,,,,,,,,,,,,
19.8,38.5,0.8801,,,,,,,,,,,,,,
22.0,34.1,0.8904,,,,,,,,,,,,,,
23.3,32.2,0.9096,,,,,,,,,,,,,,
23.9,30.0,0.8757,,,,,,,,,,,,,,
24.4,28.9,0.8736,,,,,,,,,,,,,,
24.4,29.4,0.8848,,,,,,,,,,,,,,
23.8,31.3,0.9137,,,,,,,,,,,,,,
22.5,35.4,0.9547,,,,,,,,,,,,,,
20.4,42.5,1.0086,,,,,,,,,,,,,,
18.3,52.6,1.0945,,,,,,,,,,,,,,
16.7,57.4,1.0786,,,,,,,,,,,,,,
15.7,60.2,1.0654,,,,,,,,,,,,,,
15.3,61.4,1.0580,,,,,,,,,,,,,,
14.1,65.7,1.0494,,,,,,,,,,,,,,
14.8,60.6,1.0148,,,,,,,,,,,,,,
14.8,59.2,0.9879,,,,,,,,,,,,,,
13.6,62.1,0.9636,,,,,,,,,,,,,,
12.3,66.2,0.9450,,,,,,,,,,,,,,
12.8,63.2,0.9283,,,,,,,,,,,,,,
11.2,68.5,0.9081,,,,,,,,,,,,,,
11.0,66.5,0.8705,,,,,,,,,,,,,,
11.7,63.7,0.8719,,,,,,,,,,,,,,
13.6,56.3,0.8743,,,,,,,,,,,,,,
17.8,42.9,0.8672,,,,,,,,,,,,,,
21.4,33.3,0.8417,,,,,,,,,,,,,,
24.4,27.4,0.8231,,,,,,,,,,,,,,
25.3,26.1,0.8264,,,,,,,,,,,,,,
25.8,23.2,0.7589,,,,,,,,,,,,,,
27.0,20.2,0.7094,,,,,,,,,,,,,,
28.2,18.6,0.7014,,,,,,,,,,,,,,
28.0,19.1,0.7098,,,,,,,,,,,,,,
23.9,25.7,0.7519,,,,,,,,,,,,,,
21.3,34.8,0.8730,,,,,,,,,,,,,,
20.4,36.7,0.8704,,,,,,,,,,,,,,
19.0,41.3,0.9007,,,,,,,,,,,,,,
